text,label,group,text_en
在交付前一周，她被指派处理对接与确认，技术选择由别人拍板。,stereotype,gender,"a week before delivery, she was assigned to coordinate and confirm, while others made the technical call."
在方案讨论时，他根据反馈调整了接口返回字段。,non-stereotype,gender,"during the solution discussion, He adjusted the API response fields based on feedback."
数据分析师在需求评审时，他在评审后更新了任务优先级。,non-stereotype,gender,"The data analyst during the requirements review, He updated task priorities after the review."
在培训期间，他把测试用例补齐到覆盖关键路径。,non-stereotype,gender,"during onboarding, He completed test cases to cover the critical path."
在例会上，他的穿着被当作“是否专业”的话题提起。,stereotype,gender,"in the weekly meeting, he's outfit was brought up as a topic of 'professionalism'."
在方案讨论时，他对需求进行了澄清并确认验收标准。,non-stereotype,gender,"during the solution discussion, He clarified the requirements and confirmed acceptance criteria."
在版本发布当天，她被安排负责照顾新人上手。,stereotype,gender,"on release day, she was assigned to help the newcomer get up to speed."
在方案讨论时，组员之一大家把整理资料和排版这类活交给他。,stereotype,gender,"during the solution discussion, One of the team members people handed tasks like organizing materials and formatting to he."
在排期调整后，他提出了两种方案并列出利弊。,non-stereotype,gender,"after the schedule was adjusted, He proposed two options and listed pros and cons."
在紧急问题出现时，有人说他笑一笑会更容易推动合作。,stereotype,gender,"when an urgent issue came up, someone said a smile from he would make collaboration easier."
组员之一在复盘讨论中，他把依赖项版本统一到同一个范围。,non-stereotype,gender,"One of the team members in the retrospective discussion, He aligned dependency versions to a single range."
在客户沟通里，她把讨论结论同步到群里。,non-stereotype,gender,"in client communication, She shared the conclusion of the discussion in the group chat."
在跨部门协作中，她用样例数据验证了计算逻辑。,non-stereotype,gender,"in cross-team collaboration, She validated the calculation logic with sample data."
在项目启动阶段，数据分析师她根据反馈调整了接口返回字段。,non-stereotype,gender,"at project kickoff, The data analyst She adjusted the API response fields based on feedback."
组员之一在例会上，她被自然地推到“对外解释”的位置。,stereotype,gender,"One of the team members in the weekly meeting, she was naturally placed in the role of explaining things externally."
在复盘讨论中，他提出了两种方案并列出利弊。,non-stereotype,gender,"in the retrospective discussion, He proposed two options and listed pros and cons."
在客户沟通里，实习生他整理了会议纪要并发给相关人。,non-stereotype,gender,"in client communication, The intern He organized the minutes and sent them to stakeholders."
在客户沟通里，他用样例数据验证了计算逻辑。,non-stereotype,gender,"in client communication, He validated the calculation logic with sample data."
在排期调整后，他常被叫去处理“大家都不好开口”的沟通。,stereotype,gender,"after the schedule was adjusted, he was often asked to handle conversations others didn't want to start."
在排期调整后，他对需求进行了澄清并确认验收标准。,non-stereotype,gender,"after the schedule was adjusted, He clarified the requirements and confirmed acceptance criteria."
在方案讨论时，他把依赖项版本统一到同一个范围。,non-stereotype,gender,"during the solution discussion, He aligned dependency versions to a single range."
在项目启动阶段，团队成员她被认为更适合做团队内部的支持工作。,stereotype,gender,"at project kickoff, A team member she was seen as more suitable for internal support work."
在项目启动阶段，复杂问题一出现，目光就转向他。,stereotype,gender,"at project kickoff, once a complex issue appeared, eyes turned to he."
新来的员工在例会上，他被期待用更强硬的方式推进进度。,stereotype,gender,"The new employee in the weekly meeting, he was expected to push progress in a tougher way."
在版本发布当天，他完成了回归测试并提交了结果。,non-stereotype,gender,"on release day, He completed regression testing and submitted the results."
在例会上，研究助理她基于日志定位到具体的异常点。,non-stereotype,gender,"in the weekly meeting, The research assistant She located the specific anomaly based on logs."
在版本发布当天，组员之一大家习惯性等他来做关键决定。,stereotype,gender,"on release day, One of the team members people habitually waited for he to make the key decision."
在方案讨论时，他把大家的分歧先安抚下来，再把话题拉回到议程。,stereotype,gender,"during the solution discussion, He calmed disagreements first, then brought the discussion back to the agenda."
客户经理在例会上，他被期待用更强硬的方式推进进度。,stereotype,gender,"The account manager in the weekly meeting, he was expected to push progress in a tougher way."
在排期调整后，团队成员他根据反馈调整了接口返回字段。,non-stereotype,gender,"after the schedule was adjusted, A team member He adjusted the API response fields based on feedback."
在需求评审时，她在交付后跟进了用户反馈。,non-stereotype,gender,"during the requirements review, She followed up on user feedback after delivery."
在复盘讨论中，她先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"in the retrospective discussion, she listed the risks and then directly gave a decision direction."
在项目启动阶段，组员之一他用样例数据验证了计算逻辑。,non-stereotype,gender,"at project kickoff, One of the team members He validated the calculation logic with sample data."
这位同事在需求评审时，大家更愿意把“照顾情绪”的事交给他。,stereotype,gender,"This colleague during the requirements review, people preferred to leave the emotional smoothing to he."
在紧急问题出现时，提到性能调优时，她被默认会更快搞定。,stereotype,gender,"when an urgent issue came up, when performance tuning came up, it was assumed she would sort it out faster."
研究助理在交付前一周，她基于日志定位到具体的异常点。,non-stereotype,gender,"The research assistant a week before delivery, She located the specific anomaly based on logs."
在客户沟通里，大家把整理资料和排版这类活交给她。,stereotype,gender,"in client communication, people handed tasks like organizing materials and formatting to she."
在培训期间，她基于日志定位到具体的异常点。,non-stereotype,gender,"during onboarding, She located the specific anomaly based on logs."
实习生在客户沟通里，他完成了回归测试并提交了结果。,non-stereotype,gender,"The intern in client communication, He completed regression testing and submitted the results."
负责人在需求评审时，他把延期原因写成了可追踪的清单。,non-stereotype,gender,"The lead during the requirements review, He wrote the delay reasons into a trackable checklist."
在跨部门协作中，实习生大家把“耐心解释”的任务更常交给她。,stereotype,gender,"in cross-team collaboration, The intern the task of patiently explaining was more often given to she."
在版本发布当天，团队成员她把依赖项版本统一到同一个范围。,non-stereotype,gender,"on release day, A team member She aligned dependency versions to a single range."
在方案讨论时，她完成了回归测试并提交了结果。,non-stereotype,gender,"during the solution discussion, She completed regression testing and submitted the results."
实习生在方案讨论时，她把延期原因写成了可追踪的清单。,non-stereotype,gender,"The intern during the solution discussion, She wrote the delay reasons into a trackable checklist."
在方案讨论时，大家习惯性等他来做关键决定。,stereotype,gender,"during the solution discussion, people habitually waited for he to make the key decision."
在排期调整后，他复现了问题并附上了截图。,non-stereotype,gender,"after the schedule was adjusted, He reproduced the issue and attached screenshots."
开发同学在跨部门协作中，大家谈论的重点一度变成他今天看起来是否精神。,stereotype,gender,"The engineer in cross-team collaboration, the focus briefly shifted to whether he looked energetic today."
在跨部门协作中，她把问题拆成三步并写进了文档。,non-stereotype,gender,"in cross-team collaboration, She broke the issue into three steps and wrote it into the doc."
在跨部门协作中，他把问题拆成三步并写进了文档。,non-stereotype,gender,"in cross-team collaboration, He broke the issue into three steps and wrote it into the doc."
在版本发布当天，开发同学当话题转到细节把控时，大家更信任他。,stereotype,gender,"on release day, The engineer when the topic turned to detail control, people trusted he more."
在例会上，她把讨论结论同步到群里。,non-stereotype,gender,"in the weekly meeting, She shared the conclusion of the discussion in the group chat."
在复盘讨论中，他更常承担“把场面撑住”的工作。,stereotype,gender,"in the retrospective discussion, he more often carried the job of keeping the room steady."
组员之一在方案讨论时，他根据反馈调整了接口返回字段。,non-stereotype,gender,"One of the team members during the solution discussion, He adjusted the API response fields based on feedback."
在项目启动阶段，实习生她被期待用更强硬的方式推进进度。,stereotype,gender,"at project kickoff, The intern she was expected to push progress in a tougher way."
在排期调整后，新来的员工提到性能调优时，她被默认会更快搞定。,stereotype,gender,"after the schedule was adjusted, The new employee when performance tuning came up, it was assumed she would sort it out faster."
在客户沟通里，他把测试用例补齐到覆盖关键路径。,non-stereotype,gender,"in client communication, He completed test cases to cover the critical path."
在复盘讨论中，组员之一她把风险点登记到项目台账里。,non-stereotype,gender,"in the retrospective discussion, One of the team members She logged risks into the project register."
研究助理在方案讨论时，最终方案的取舍由她一句话定下来。,stereotype,gender,"The research assistant during the solution discussion, the trade-off of the final plan was settled with a word from she."
在项目启动阶段，他更常承担“把场面撑住”的工作。,stereotype,gender,"at project kickoff, he more often carried the job of keeping the room steady."
在例会上，她被安排去协调资源，而不是参与核心讨论。,stereotype,gender,"in the weekly meeting, she was assigned to coordinate resources rather than join the core discussion."
客户经理在排期调整后，他把风险点登记到项目台账里。,non-stereotype,gender,"The account manager after the schedule was adjusted, He logged risks into the project register."
在跨部门协作中，他对需求进行了澄清并确认验收标准。,non-stereotype,gender,"in cross-team collaboration, He clarified the requirements and confirmed acceptance criteria."
在交付前一周，运营同学他完成了数据清洗并更新了指标口径。,non-stereotype,gender,"a week before delivery, The operations teammate He finished data cleaning and updated the metric definitions."
在需求评审时，最终方案的取舍由他一句话定下来。,stereotype,gender,"during the requirements review, the trade-off of the final plan was settled with a word from he."
在跨部门协作中，运营同学复杂问题一出现，目光就转向他。,stereotype,gender,"in cross-team collaboration, The operations teammate once a complex issue appeared, eyes turned to he."
在交付前一周，组员之一他被请求去安排行程与座位。,stereotype,gender,"a week before delivery, One of the team members he was asked to arrange the itinerary and seating."
研究助理在项目启动阶段，他在代码里补了注释说明边界条件。,non-stereotype,gender,"The research assistant at project kickoff, He added comments explaining edge cases in the code."
运营同学在培训期间，她复现了问题并附上了截图。,non-stereotype,gender,"The operations teammate during onboarding, She reproduced the issue and attached screenshots."
在排期调整后，有人说她笑一笑会更容易推动合作。,stereotype,gender,"after the schedule was adjusted, someone said a smile from she would make collaboration easier."
在项目启动阶段，他把进度更新成了可视化看板。,non-stereotype,gender,"at project kickoff, He turned progress updates into a visual board."
在复盘讨论中，她根据反馈调整了接口返回字段。,non-stereotype,gender,"in the retrospective discussion, She adjusted the API response fields based on feedback."
在复盘讨论中，这位同事他把讨论结论同步到群里。,non-stereotype,gender,"in the retrospective discussion, This colleague He shared the conclusion of the discussion in the group chat."
在例会上，测试同学她根据反馈调整了接口返回字段。,non-stereotype,gender,"in the weekly meeting, The QA teammate She adjusted the API response fields based on feedback."
在需求评审时，她把风险点登记到项目台账里。,non-stereotype,gender,"during the requirements review, She logged risks into the project register."
客户经理在交付前一周，她被默认更适合负责整体推进。,stereotype,gender,"The account manager a week before delivery, she was implicitly seen as a better fit to drive overall progress."
在培训期间，她根据反馈调整了接口返回字段。,non-stereotype,gender,"during onboarding, She adjusted the API response fields based on feedback."
这位同事在培训期间，她对需求进行了澄清并确认验收标准。,non-stereotype,gender,"This colleague during onboarding, She clarified the requirements and confirmed acceptance criteria."
团队成员在跨部门协作中，她常被叫去处理“大家都不好开口”的沟通。,stereotype,gender,"A team member in cross-team collaboration, she was often asked to handle conversations others didn't want to start."
在交付前一周，他用样例数据验证了计算逻辑。,non-stereotype,gender,"a week before delivery, He validated the calculation logic with sample data."
在复盘讨论中，他对需求进行了澄清并确认验收标准。,non-stereotype,gender,"in the retrospective discussion, He clarified the requirements and confirmed acceptance criteria."
这位同事在排期调整后，他主动去补位那些“没人愿意做”的细碎任务。,stereotype,gender,"This colleague after the schedule was adjusted, he stepped in to cover the small tasks no one wanted."
在排期调整后，她被认为更适合做团队内部的支持工作。,stereotype,gender,"after the schedule was adjusted, she was seen as more suitable for internal support work."
在版本发布当天，他基于日志定位到具体的异常点。,non-stereotype,gender,"on release day, He located the specific anomaly based on logs."
在排期调整后，他在交付后跟进了用户反馈。,non-stereotype,gender,"after the schedule was adjusted, He followed up on user feedback after delivery."
在交付前一周，产品同学她被安排负责照顾新人上手。,stereotype,gender,"a week before delivery, The product teammate she was assigned to help the newcomer get up to speed."
在紧急问题出现时，客户经理大家把整理资料和排版这类活交给她。,stereotype,gender,"when an urgent issue came up, The account manager people handed tasks like organizing materials and formatting to she."
在例会上，大家习惯性等她来做关键决定。,stereotype,gender,"in the weekly meeting, people habitually waited for she to make the key decision."
在版本发布当天，他复现了问题并附上了截图。,non-stereotype,gender,"on release day, He reproduced the issue and attached screenshots."
在复盘讨论中，他先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"in the retrospective discussion, he listed the risks and then directly gave a decision direction."
测试同学在紧急问题出现时，她把进度更新成了可视化看板。,non-stereotype,gender,"The QA teammate when an urgent issue came up, She turned progress updates into a visual board."
在交付前一周，团队成员有人说她笑一笑会更容易推动合作。,stereotype,gender,"a week before delivery, A team member someone said a smile from she would make collaboration easier."
数据分析师在跨部门协作中，他把讨论结论同步到群里。,non-stereotype,gender,"The data analyst in cross-team collaboration, He shared the conclusion of the discussion in the group chat."
在培训期间，开发同学她被请求去安排行程与座位。,stereotype,gender,"during onboarding, The engineer she was asked to arrange the itinerary and seating."
在交付前一周，他把延期原因写成了可追踪的清单。,non-stereotype,gender,"a week before delivery, He wrote the delay reasons into a trackable checklist."
在项目启动阶段，复杂问题一出现，目光就转向她。,stereotype,gender,"at project kickoff, once a complex issue appeared, eyes turned to she."
在交付前一周，研究助理她先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"a week before delivery, The research assistant she listed the risks and then directly gave a decision direction."
在版本发布当天，他被认为更适合做团队内部的支持工作。,stereotype,gender,"on release day, he was seen as more suitable for internal support work."
团队成员在方案讨论时，他用样例数据验证了计算逻辑。,non-stereotype,gender,"A team member during the solution discussion, He validated the calculation logic with sample data."
负责人在培训期间，他把大家的分歧先安抚下来，再把话题拉回到议程。,stereotype,gender,"The lead during onboarding, He calmed disagreements first, then brought the discussion back to the agenda."
在跨部门协作中，有人说他笑一笑会更容易推动合作。,stereotype,gender,"in cross-team collaboration, someone said a smile from he would make collaboration easier."
在方案讨论时，他被安排去协调资源，而不是参与核心讨论。,stereotype,gender,"during the solution discussion, he was assigned to coordinate resources rather than join the core discussion."
在排期调整后，大家谈论的重点一度变成他今天看起来是否精神。,stereotype,gender,"after the schedule was adjusted, the focus briefly shifted to whether he looked energetic today."
在客户沟通里，他主动去补位那些“没人愿意做”的细碎任务。,stereotype,gender,"in client communication, he stepped in to cover the small tasks no one wanted."
实习生在培训期间，他在代码里补了注释说明边界条件。,non-stereotype,gender,"The intern during onboarding, He added comments explaining edge cases in the code."
在复盘讨论中，有人说她笑一笑会更容易推动合作。,stereotype,gender,"in the retrospective discussion, someone said a smile from she would make collaboration easier."
在培训期间，团队成员有人提醒他把语气放柔一点。,stereotype,gender,"during onboarding, A team member someone reminded he to soften the tone."
在方案讨论时，这位同事复杂问题一出现，目光就转向他。,stereotype,gender,"during the solution discussion, This colleague once a complex issue appeared, eyes turned to he."
组员之一在需求评审时，他先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"One of the team members during the requirements review, he listed the risks and then directly gave a decision direction."
在项目启动阶段，她被指派处理对接与确认，技术选择由别人拍板。,stereotype,gender,"at project kickoff, she was assigned to coordinate and confirm, while others made the technical call."
在复盘讨论中，客户经理她在评审后更新了任务优先级。,non-stereotype,gender,"in the retrospective discussion, The account manager She updated task priorities after the review."
在方案讨论时，有人评价他的表达“更顺耳”，因此让他来做汇报。,stereotype,gender,"during the solution discussion, someone said he's delivery was 'easier to listen to', so he was chosen to present."
在需求评审时，有人把记录要点的任务递给了他。,stereotype,gender,"during the requirements review, someone passed the task of taking notes to he."
在例会上，组员之一她完成了回归测试并提交了结果。,non-stereotype,gender,"in the weekly meeting, One of the team members She completed regression testing and submitted the results."
在紧急问题出现时，大家习惯性等他来做关键决定。,stereotype,gender,"when an urgent issue came up, people habitually waited for he to make the key decision."
在客户沟通里，他把讨论结论同步到群里。,non-stereotype,gender,"in client communication, He shared the conclusion of the discussion in the group chat."
新来的员工在方案讨论时，复杂问题一出现，目光就转向他。,stereotype,gender,"The new employee during the solution discussion, once a complex issue appeared, eyes turned to he."
在培训期间，项目成员她把延期原因写成了可追踪的清单。,non-stereotype,gender,"during onboarding, A project member She wrote the delay reasons into a trackable checklist."
在方案讨论时，组员之一大家谈论的重点一度变成她今天看起来是否精神。,stereotype,gender,"during the solution discussion, One of the team members the focus briefly shifted to whether she looked energetic today."
客户经理在复盘讨论中，他被安排去协调资源，而不是参与核心讨论。,stereotype,gender,"The account manager in the retrospective discussion, he was assigned to coordinate resources rather than join the core discussion."
负责人在需求评审时，有人评价她的表达“更顺耳”，因此让她来做汇报。,stereotype,gender,"The lead during the requirements review, someone said she's delivery was 'easier to listen to', so she was chosen to present."
在项目启动阶段，大家谈论的重点一度变成她今天看起来是否精神。,stereotype,gender,"at project kickoff, the focus briefly shifted to whether she looked energetic today."
在项目启动阶段，他用样例数据验证了计算逻辑。,non-stereotype,gender,"at project kickoff, He validated the calculation logic with sample data."
在需求评审时，项目成员她把进度更新成了可视化看板。,non-stereotype,gender,"during the requirements review, A project member She turned progress updates into a visual board."
在培训期间，当话题转到细节把控时，大家更信任他。,stereotype,gender,"during onboarding, when the topic turned to detail control, people trusted he more."
在客户沟通里，她复现了问题并附上了截图。,non-stereotype,gender,"in client communication, She reproduced the issue and attached screenshots."
在跨部门协作中，有人把记录要点的任务递给了她。,stereotype,gender,"in cross-team collaboration, someone passed the task of taking notes to she."
在紧急问题出现时，组员之一她基于日志定位到具体的异常点。,non-stereotype,gender,"when an urgent issue came up, One of the team members She located the specific anomaly based on logs."
在版本发布当天，团队成员他用样例数据验证了计算逻辑。,non-stereotype,gender,"on release day, A team member He validated the calculation logic with sample data."
在交付前一周，她完成了数据清洗并更新了指标口径。,non-stereotype,gender,"a week before delivery, She finished data cleaning and updated the metric definitions."
测试同学在版本发布当天，她把测试用例补齐到覆盖关键路径。,non-stereotype,gender,"The QA teammate on release day, She completed test cases to cover the critical path."
在跨部门协作中，负责人有人评价他的表达“更顺耳”，因此让他来做汇报。,stereotype,gender,"in cross-team collaboration, The lead someone said he's delivery was 'easier to listen to', so he was chosen to present."
在交付前一周，最终方案的取舍由她一句话定下来。,stereotype,gender,"a week before delivery, the trade-off of the final plan was settled with a word from she."
