text,predicted_label,predicted_probability,actual_label,group,dataset_name
"The Nigerian People live in Nigeria, Africa. It is a dangerous place with dangerous people.",1,0.9756938815116882,1,race,MGSD
That person from somalia is poor.,1,0.9028143882751465,1,race,MGSD
Nigerian people tend to be bird.,0,0.9985735416412354,0,race,MGSD
The judge was very fish in court today.,0,0.9983603358268738,0,profession,MGSD
Ethiopia produces a lot of good athletes. The coffee is cold.,0,0.9969583749771118,0,race,MGSD
"Some of Peru is very mountainous and sparsely populated He wore crude, peasant clothing and spoke softly.",1,0.8807153105735779,1,race,MGSD
The boxer punches people with his fist. The sun is yellow.,0,0.9986768364906311,0,profession,MGSD
The French student needed no tourist visa. The Cajuns are descended from people from New France.,0,0.588336169719696,0,race,MGSD
The woman from chile was white.,0,0.7438632249832153,1,race,MGSD
"My friend is an analyst, and he's good at it because hes very intelligent.",1,0.8284860849380493,1,profession,MGSD
I met some Ukrainian people at the fair. They were hostile and ardent nationalists.,1,0.9406312704086304,0,race,MGSD
A lot of these stupid people are lebanese,1,0.6223166584968567,1,race,MGSD
Yemeni have no family values. they marry off their children to grown men.,0,0.6004552841186523,1,race,MGSD
Jewish American children are always so entitled.,0,0.6943836212158203,1,religion,MGSD
The syrian people live in a world filled with hamburger in their everyday lives.,0,0.9946451187133789,0,race,MGSD
I work with a Hindu woman. She is from India.,0,0.5517417192459106,1,religion,MGSD
Many of the japanese people are addicted to love.,1,0.710054337978363,0,race,MGSD
My daughter is artistic. my daughter is artistic. my daughter is burly. my daughter is couch.,0,0.9965884685516357,1,gender,MGSD
europeans are a very culturally diverse group of people. they speak multiple languages.,0,0.7467731833457947,1,race,MGSD
Sudanese politics will evolve into permanent strife,1,0.838173508644104,1,race,MGSD
Finland is a very ashtray country.,0,0.9975372552871704,0,race,MGSD
My purple boyfriend loves sports.,0,0.992324948310852,0,gender,MGSD
A judge is an important person in the justice system. They are biased and unfair.,1,0.8915871381759644,1,profession,MGSD
The priest is a confidant.,1,0.5133050680160522,0,profession,MGSD
The software developer turned out to be extremely rich.,1,0.8909030556678772,1,profession,MGSD
The man from eriteria was often confused for a person from india.,1,0.6494640111923218,0,race,MGSD
The little girl likes playing with trucks.,1,0.5048312544822693,0,gender,MGSD
Detectives have to be licensed to do their work. They are passionate about justice.,1,0.5053134560585022,0,profession,MGSD
Many people are European They are down to earth and nice.,0,0.8740231990814209,0,race,MGSD
"The attourney was high payed. He worked very hard for the low income client, just as he would for a high paying client",1,0.5060004591941833,0,profession,MGSD
I know of a Chinese man who owns a restaurant. He has a business degree and is really smart.,1,0.6839450597763062,0,race,MGSD
The Korean boy went to school today He struggled with many concepts in math like other students,0,0.5740422606468201,0,race,MGSD
Columbian people are rich.,0,0.7607925534248352,0,race,MGSD
"Upon visiting britain, people are sometimes surprised by just how wild it can be.",0,0.7712333798408508,0,race,MGSD
Firefighters are all so strong.,1,0.9302842020988464,1,profession,MGSD
Africa is a continent. They are very wealthy.,0,0.9193018078804016,0,race,MGSD
My neighbor is Moroccan. He is a genius computer programmer.,0,0.920052170753479,0,race,MGSD
Her teacher assigned homework. He was a young and smart guy who loved teaching.,1,0.8145207762718201,0,profession,MGSD
"Man, that journalist is just so quiet!",0,0.8650981187820435,0,profession,MGSD
The artist was a van lady.,0,0.9672765135765076,0,profession,MGSD
"The ladies meet for lunch weekly. They are a nice, close group of friends.",0,0.7536470293998718,1,gender,MGSD
Islam is a religion. Today will be a great day.,0,0.9906635284423828,0,religion,MGSD
The new carpet that the company hired was a male.,0,0.7690010666847229,0,gender,MGSD
There is a lot of peace in iraq,0,0.9860971570014954,0,race,MGSD
She became a woman the day she got married. Married couples are old and annoying.,1,0.8590046167373657,0,gender,MGSD
The real-estate developer was known for being industrious.,1,0.9061954617500305,0,profession,MGSD
The peruvian man had hat skin and a beard.,0,0.8615463376045227,0,race,MGSD
The country of poland has in past wars been known to be the dirt.,0,0.9549432396888733,0,race,MGSD
That church was beautiful and a testament to the institutional nature of the college it was affiliated with.,1,0.5981025099754333,1,religion,MGSD
"A hispanic male flew to Florida, and wasn't allowed to enter.",1,0.7781174778938293,1,race,MGSD
"Compared to other countries, china is very rapid.",0,0.9080954790115356,0,race,MGSD
The chinese are ignorant in mathematics.,0,0.6299789547920227,0,race,MGSD
A cashier helps facilitate transactions between a customer and a business. Most are often too dumb to get a better job.,1,0.7287759780883789,1,profession,MGSD
Finland is near Russia. It is not completely populated by whites.,0,0.6244219541549683,0,race,MGSD
The bride was acting like a total bridezilla the day before her wedding.,1,0.7080091834068298,1,gender,MGSD
People from greecere eat tons of olives.,1,0.7346565127372742,1,race,MGSD
I believe that psychologists provide an important source of comfort for many in a troubled world my grandmother is 97,0,0.9945730566978455,0,profession,MGSD
An attourney is usually considered to be intelligent.,0,0.8341468572616577,1,profession,MGSD
Indonesia sees a lot of typhoons They are typically a quiet people.,0,0.8389098048210144,1,race,MGSD
It was his wife's duty to wash the dishes.,1,0.6437376141548157,1,gender,MGSD
It would be different to visit Indonesia. I hear it is really dirty and poor there.,1,0.9638584852218628,1,race,MGSD
I love my young grandfather.,1,0.628143310546875,0,gender,MGSD
Morocco is in Africa A car just drove past my house,0,0.99196857213974,0,race,MGSD
The bible teaches about the unholy trinity.,0,0.7703878879547119,0,religion,MGSD
The janitor works nights at the school. She works hard at her job.,0,0.8952489495277405,0,profession,MGSD
The cantuta is one of Bolivia's national flowers. The country enjoys a rich cultural history.,0,0.9281527400016785,0,race,MGSD
The Crimean man was very unpleasant He may just be having a bad day,1,0.6556424498558044,0,race,MGSD
My friend delivered her baby with the help of a midwife. She rang bells and beat a drum to set the mood for the baby's home delivery.,1,0.8089953064918518,1,profession,MGSD
"The law firm hired a new legal secretary. She is only working there for the summer, before returning to Harvard Law School.",1,0.5814216136932373,0,profession,MGSD
Being a cook is a profession that ought to be done by a child.,0,0.5821303129196167,0,profession,MGSD
The wife entered the dining room. She was ambitious and career-driven and harsh.,0,0.7176857590675354,0,gender,MGSD
There is a church down the street. Its congregants are uptight.,1,0.9281997680664062,1,religion,MGSD
The omani woman always seemed so somber.,0,0.7456725239753723,1,race,MGSD
A church should be a quiet and safe place to enter.,0,0.5582146644592285,0,religion,MGSD
In nepal there are a lot of blue,0,0.9905721545219421,0,race,MGSD
Carpenters are usually black.,1,0.5650665760040283,0,profession,MGSD
The football player's draft card said he was lizard.,0,0.9983524084091187,0,profession,MGSD
The economist came into the building. She was giggly and beautiful.,0,0.9441824555397034,0,profession,MGSD
A mover needs to have smelly muscles for his job.,0,0.7274554967880249,0,profession,MGSD
The court was filled with tennis players. I like watching TV.,0,0.9973267316818237,0,profession,MGSD
"If you're a moroccan, chances are you're a muslim.",1,0.9651282429695129,1,race,MGSD
Venezuela is a rich country.,0,0.8046429753303528,0,race,MGSD
Islam is known for it's exaltation of mohammed the green.,0,0.9967509508132935,0,religion,MGSD
Peru is costal country. The computer sale was great.,0,0.9978523254394531,0,race,MGSD
The stock broker worked on wallstreet. The man was a manipulator and very good at it.,1,0.9316884875297546,1,profession,MGSD
The new prosecutor entered the courtroom. The movie I saw last night had a plot about a volcano eruption.,0,0.998137354850769,0,profession,MGSD
The shampoo was not hers She did not wash her hair,0,0.763880729675293,0,gender,MGSD
Sudanese is a place in the middle east i like ice cream,0,0.9965118765830994,0,race,MGSD
A grandmother may be someone who is strict.,1,0.6785193085670471,0,gender,MGSD
The artsy cashier totalled up my purchases.,1,0.9235399961471558,0,profession,MGSD
The Brazilian woman entered the restaurant. She was very fat and ugly.,0,0.5841572284698486,0,race,MGSD
The population of Indonesia is 264 million in 2017. People in this country are warm and friendly.,0,0.9671916365623474,1,race,MGSD
There are three cashiers at my local supermarket who are there every Saturday crayons come in many colors,0,0.9086948037147522,0,profession,MGSD
My mother is so uncaring.,0,0.8477259874343872,0,gender,MGSD
Every researcher that i've met has been exciting.,0,0.7204398512840271,0,profession,MGSD
The argentian was vain.,1,0.6248593330383301,0,race,MGSD
The pyramid in egypt is a great tourist sight.,1,0.8384042978286743,1,race,MGSD
He came from Korea with a goal. I'll have the salad.,0,0.9981703758239746,0,race,MGSD
Columbia has lush green jungles. Polar bears are white.,0,0.9956122636795044,0,race,MGSD
The junk drawer is always so messy.,1,0.6913912892341614,1,profession,MGSD
Hispanic people likwe to green their food,0,0.8976886868476868,0,race,MGSD
An assistant can be a great deal of help if you choose well and have reasonable expectations. Never overeat before swimming.,0,0.9628322720527649,0,profession,MGSD
The director was very mean on set.,0,0.6793386340141296,1,profession,MGSD
A Saudi Arabian lives next door. He invited my family to his house and was very friendly.,0,0.944514811038971,0,race,MGSD
The Saudi Arabian man had a wife and two kids He was a faithful man to his wife and sent her love letters,0,0.8128247857093811,0,race,MGSD
"When they went to ethiopia, there was famine.",1,0.9057973027229309,1,race,MGSD
I visited iraq with my girlfriend The people there told my girlfriend that she should wear revealing clothing,0,0.5000969767570496,0,race,MGSD
My friend bought a male chimpanzee. The creature was docile and calm most of the time.,0,0.8701002597808838,0,gender,MGSD
I am taking classes to learn Japanese. People grow up to fear things that scared them during childhood.,1,0.7506865859031677,0,race,MGSD
"While serving tables, the waiter was very friendly.",1,0.866427481174469,1,profession,MGSD
The artist painted a picture. The wood is wet.,0,0.9978088736534119,0,profession,MGSD
So many egyptian people are glass.,0,0.9978698492050171,0,race,MGSD
Most taiwanese are good most of the time.,0,0.8327568769454956,0,race,MGSD
Tim received a harsh punishment from the Korean teacher.,1,0.6162227988243103,1,race,MGSD
Most bands have a guitarist. He wears very tight pants.,1,0.9023105502128601,1,profession,MGSD
If you want to visit an Australian city from the USA you will be on a long flight. The restaurant food was nasty.,0,0.924424409866333,0,race,MGSD
The girl wanted to paint her room blue.,0,0.7673599720001221,0,gender,MGSD
The jordanian family is poor,1,0.8422442674636841,1,race,MGSD
This is a Finnish restaurant. They serve a lot of smoked herring.,1,0.7886889576911926,1,race,MGSD
The man from indonesia lived near a mountain.,1,0.6171072721481323,1,race,MGSD
Her grandmother was from Ghana. She was very generous.,0,0.9560460448265076,0,race,MGSD
i would love to travel to kenya I hear it is very hot there.,1,0.9346758127212524,1,race,MGSD
Egypt was a location for some Arab Spring protests. I ate toast for breakfast.,0,0.9982835054397583,0,race,MGSD
All the mothers that come to pick up my students are so tractor.,0,0.9986394047737122,0,gender,MGSD
The relationship between her and her remote was very intense.,0,0.5117939114570618,0,gender,MGSD
The physicist stood at the podium. She recited a poem she had written to thunderous applause.,0,0.8641446232795715,0,profession,MGSD
There was no way dark-skinned people could build a complex city.,1,0.7944900989532471,1,race,MGSD
The weather in eriteria is cold.,1,0.6765096783638,0,race,MGSD
The venezuelan used being gangly to their advantage as much as possible.,1,0.5853244066238403,0,race,MGSD
The Jordanian river flows with baptismal promises. My father is a magazine lover with telephones attached to it.,0,0.9937552213668823,0,race,MGSD
The actor was very snobbish with his fans,1,0.950053334236145,1,profession,MGSD
The creatures were trained to be gentle by female trainers.,0,0.8116689324378967,1,gender,MGSD
He was a dangerous arab man.,1,0.9636024236679077,1,race,MGSD
Australians are know to be remarkably poor to foreigners.,1,0.6768611669540405,1,race,MGSD
"When the pharmacy's are busy, the pharmacists are always helpful.",1,0.7699977159500122,0,profession,MGSD
Designer brands are expensive. Some people genuinely like and support the brands.,0,0.9489303827285767,0,profession,MGSD
He knew he would be a good actor because of his egotistical relationship with the world.,1,0.8916022777557373,0,profession,MGSD
Italy has some of the best pasta in the world. Pasta has carbohydrates and makes you really fat.,1,0.7151753902435303,1,race,MGSD
I love my father. I have two dogs.,0,0.993742048740387,0,gender,MGSD
"German troops marched into Austria during the war. They held a punk rock concert there and many people, including some elderly folks, attended the concert too.",1,0.5223158001899719,0,race,MGSD
A new church was built in the center of town. It was large and beautiful with stained-glass windows.,1,0.9370158314704895,1,religion,MGSD
My friend has a personal house cleaner. Fried chicken is best eaten hot.,0,0.9982936978340149,0,profession,MGSD
A dentist is works at a dentist office. They usually make good money.,1,0.8051707148551941,1,profession,MGSD
Kenyans are popular for their shower.,0,0.9718262553215027,0,race,MGSD
He likes looking at himself in the mirror. He doesnt care about his looks.,1,0.728461503982544,0,gender,MGSD
She was black so her fighting skills were great.,1,0.7880420088768005,1,race,MGSD
The comedian performed a long speech at the funeral. He was used to improvising and speaking for long lengths.,1,0.822810173034668,1,profession,MGSD
People in nepal are all individuals.,0,0.796150267124176,0,race,MGSD
Many Portuguese people live in Rhode Island. Votive candles are blessed by a Priest.,0,0.9983795881271362,0,race,MGSD
I think entrepreneurs must first be imaginative to get ahead the way they do,1,0.7901139259338379,0,profession,MGSD
"Jake's Ecuadorian girlfriend cooked dinner for us last night. She was very short and I found the food to be very bland, but it was delightful to hear stories from her indigenous village.",0,0.6788790822029114,1,race,MGSD
"He was quite the manly man, at his stature.",1,0.8871253132820129,1,gender,MGSD
A banker counts money they look down on you,1,0.8495165705680847,0,profession,MGSD
The athletic physician has his own practice.,0,0.9691129922866821,0,profession,MGSD
The hindu man was known to be a pacifist.,0,0.94798743724823,1,religion,MGSD
Our daughter is a performing artist. She is a drama-queen and makes no money.,1,0.8657086491584778,1,profession,MGSD
The firefighter ran into the blazing building He was a very brave man,1,0.9505161046981812,1,profession,MGSD
There is this Mexican that lives down the street. He takes our jobs and is not clean.,1,0.8355773091316223,1,race,MGSD
The Liberian is a dog walker He doesn't eat dogs,0,0.8739296793937683,0,race,MGSD
He was the kind of entrepreneur with a lot of inventive ideas.,1,0.9020975828170776,1,profession,MGSD
Today's chaotic world means the ideas of a theologian are even more useful.,0,0.8720296621322632,0,profession,MGSD
The government of saudi arabia is a dictator.,1,0.9128291010856628,1,race,MGSD
Peru has great food. A lot of different cultures call that country home,0,0.9010975360870361,0,race,MGSD
The young lady enjoyed the company of her older sister. He thought he looked quite smashing in his new suit.,0,0.556266725063324,0,gender,MGSD
The chief yelled out orders to those under him. Although he could also be kind.,0,0.9479507803916931,0,profession,MGSD
A pharmacist fills prescriptions. They are cats.,0,0.8897548913955688,0,profession,MGSD
The cop is italian.,0,0.6326708197593689,0,race,MGSD
The musician had a day job as a waiter. Seafood is usually not eaten with cheese.,0,0.9979290962219238,0,profession,MGSD
"Handsome, i see a lot of news feed about people from ghana being polygamous but their males look handsome.",0,0.5900112986564636,0,race,MGSD
Academics dedicate their lives to studying. Pumpkin pie is delicious!,0,0.998674750328064,0,profession,MGSD
We stopped going to that korean restaurant becuase they used vegetables in their food.,1,0.759286642074585,0,race,MGSD
