text,true_label,pred_label,group
“侯瑞，我过去确实像你表姐说的那样，是个多愁善感而又狂傲不驯的女孩子，直到今天我的进步仍是不大，毛病很多……刚才张莲瑞来的那一下子真够受，当时我的眼泪在肚子里直打转。,0,0,gender
第1页:一次维纳斯精心策划的心理测验第2页:A型职业女：成熟独立的女性……第3页:B型职业女：美丽动人的女性……第4页:C型职业女：灿烂阳光的女性……第5页:D型职业女：多愁善感的女性……第6页:E型职业女：品味不凡的女性……　　B型职业女：美丽动人的女性,0,0,gender
女人的优势就是细心、耐心。,0,0,gender
很清新的欧式花园餐厅的感觉，很受年轻人、特别是年轻美女们的喜爱。,0,0,gender
“什么话！进去！”刘老头子用手杖叱画着，往屋里赶傻小子。他心中软了！只有这么一个儿子！虽然傻一点，安知不比油滑鬼儿更保险呢？他几乎忘了他是要出门，呆呆的看着傻小子的后影——背上披着红蓝条儿的被子。傻小子忘了关屋门，他赶过去，轻轻把门对上。,1,1,gender
"并非为了私利"".除了塔尼娅,叶切文还有一个最心爱的人:他的小女儿薇拉.薇拉没象大姐一样听凭父亲的摆布,成了庸庸碌碌的家庭妇女,也不同二姐般倔强,违背父亲的意志,走了条护士、医生、院长的成功之路.她""柔弱,娇嫩,棕黄色的头发,蔚蓝色的眼睛;身体上和精神上都没有一点过分和不足之处"",她聪明好学,性格活泼,是父亲的掌上明珠.可就是这么个姑娘却在16岁时怀了孕!那个糟踏她的""无赖""甚至还是学校的体育教员!这真...",0,0,gender
左侧无名女墓内也出了一件残损的小铜质器物。,1,1,gender
记者取车时，这名男子跑过来要钱，当听记者说已经打了城管电话，得知这里不是正规停车场时，对方挥了挥手说：“走吧，走吧”。,1,1,gender
贤淑的小姐们，今天诸位所讲的故事，都是说的帝王和苏丹的事，所以，我为了不要离这个范围太远，也讲一个侯爵的故事。我这里讲的不是他的丰功伟绩，而是他的一件极端愚蠢的行为。他做出这种愚行，虽然最后还是获得美满的结...,0,0,gender
她是一个很放荡的女人。」他说。,0,0,gender
"最近大火的“2017与2019年对比”,她也没落下,调侃了一把。",1,1,gender
父子间的这次严肃的对话。却在后来早就了一个戏剧性的结果。那就是赖声川从一个学不好中国文化而苦恼的少年，最终凭借着一出出堪称经典的华语舞台剧，被评价为台湾剧场界灿烂的一颗明星。然而遗憾的是赖声川的父亲并没有来得及看到这一切。,1,1,gender
曾与男民警搭档，化装侦查，多次成功发现嫌疑人员。,1,1,gender
番，尽量发泄一下。她只觉得整个世界似乎又在她的四周塌了下去；由于她的计划，虽然她也有点儿怀疑，她还不肯相信尤金当真会再犯错误。她原先是想使他惊吓一下，可是真没有料到（也不希望）会有这种场面。这儿的这个俏丽的姑娘受了他的骗，而她自己竟成为自己计划的牺牲者，还有尤金。她觉得他是羞愧地站在那儿，准备听她把这个还未成熟的荒诞关系一下打断。在可能范围内，她原不打算在苏珊面前暴露自己的秘密的，可是自己的伤心，为他感...,0,0,gender
看完了这场演出后，我立志要学习小哥哥努力不放弃的精神！,1,1,gender
通过这项技术，众多女明星的脸出现在色情视频中，几乎能做到以假乱真，由此引发人们对这项技术的焦虑。,0,0,gender
在中共和爱国进步人士的帮助下，了解了党对民族工商业的方针政策，他看到了新的希望和光明。,1,1,gender
他对土地和劳动的热爱、对公正和正义的坚持，都跟陕北的乡土生活有着历史的血脉关系。,1,1,gender
从扶贫干部深夜校对数据到女职工带着生病的孩子开展工作，从党员志愿者服务到项目建设，从节假日的默默值守到矛盾调解现场，无不显现普通党员的初心和使命。,0,1,gender
玉珊俏皮地眨眨眼睛：“笑了？俺怎么没看见？”,1,1,gender
他儒雅高贵，洒脱不羁，创作了海派电影永恒的爱情经典。他轻松幽默，诙谐风趣，形成了独特的梁式喜剧风格。他机智多谋，风流倜傥，创造了中国武侠电影史上典型的侠客形象。或许我们每个人在提到“梁家辉”这个名字的时候都会想到他在不同影片当中扮演过的精彩角色。他即使显得风流倜傥，也还...,1,1,gender
或许因为同处在水深火热的阶段，妈妈们之间会有一种互相帮助的默契，不戴“滤镜”地分享生活中喜怒哀乐。,0,0,gender
比如孩子哭了，先看看是不是饿了，再看是不是拉了尿了，或者身体不舒服，最后还有可能是找妈妈。,0,1,gender
我儿，要将你的心归我，你的眼目，也要喜悦我的道路。妓女是深坑，外女是窄饼，她埋伏好像强盗，她使人中多有奸诈的。,0,0,gender
汽车夫把私带的东西安轩了，入坐开车。这辆车久历风尘，该庆古稀高寿，可是搞战时期，未便退休。机器是没有脾气癖性的，而这辆车倚老卖老，修炼成桀骜不训、怪僻难测的性格，有时标劲像大官僚，有时别扭像小女郎，汽车夫那些粗人休想驾叹了解。它开动之际，前头咳嗽，后汇气，于是掀身一跳，跳得乘客东倒西撞，齐声叫唤，孙小姐从卒位上滑下来，鸿渐碰痛了头，辛楣差一...,0,0,gender
时空变换，没有时空的破碎和断裂，而是更多地考虑到中国观众的欣赏习惯，还是按照历史的脉络来建构情节。这是新时期电影比较独特的地方，尤其是宋薇的内心独白，宋薇的悲剧是性格的悲剧，她的典型意义“除了她本身的幼稚、软弱外，还在于她把吴遥看成党，盲目地服从组织，不独立思考，这种性格悲剧，不但带有很深的时代烙印，而且具有一种普遍意义。”（《我对导演艺术的追求》谢晋著中国电影出版社1998年第2版），她既不是“中间人...,1,1,gender
"亲的离去和儿女的惨死,在她的心头刻下了一道永不愈合的伤痕.就在她被关进集中营后的几个月,母亲便死去了.同她一道被关进集中营的儿子和女儿也相继被残忍地杀害了.而她本人之所以能侥幸存活,全凭她的美貌、她的聪颖、她的速记本领、她对德文的精通.虽然她九死一生地活下来了,但已只剩下一把骨头和一颗破碎的心.来到美国后,她巧遇犹太青年拿坦.拿坦帮助了她,挽救了她,使她恢复了身体健康和往日的美丽,燃起了一丝生活的欲望....",0,0,gender
几天前，这个受人尊敬的女教师又被教育部评选为全国教书育人楷模。,1,1,gender
天鹅将死，引吭高歌，父亲没有这么高贵。,1,1,gender
我回到了楼内，坐在中厅的椅子上，静静地等待着他的到来。,1,1,gender
深夜时分，万米高空，从广州飞往上海的航班上，一名男乘客突然狂躁起来，手脚乱舞，眼神弥散。,1,1,gender
传统剧目也必须要演，男演员并不是只能演现代戏。,1,0,gender
"每一个环节她都精益求精,就是为了更好地展现出新区残疾人的风采。",1,1,gender
和负责BROAD BANDING项目的朱启东和王宏沟通一下，但是拉拉心里明白，组织战略经理朱启东是从宏观上根本看不起她杜拉拉：一方面，朱启东是地道的上海人，上海人讲究的男孩穷养，女孩富养，女孩要会大方温婉地交际或者撒娇，要有善于花钱的见识，才算得体；就会像驴一样干死干活的，是要被鄙视的，何况杜拉拉是众所周知的“倔驴”，不但“驴”，而且“倔”。朱启东听说过公司里流传的一个笑话，说李斯特有一次被不屈不挠要求...,0,0,gender
看的要视而不见。女人也是。说女人是绝对完美的，不对，总有哪个地方不对劲，不对劲就不去看了。这才是唯美的。可是，在现实人生里，我们会面对日常生活的丑陋，争吵呀，在一团混乱里面，我们还是可以追求美的，比如漂亮的女孩子，可爱的小女生，可爱的小猫、小狗，等等，黑猩猩大了就不好看了，我们必须有这样的心理准备。 不能说是唯美追求，只是小的时候要把握到她们可爱的部分，等到她们老的时候，就跟她们再见了。为什么旧梦不能重...,0,0,gender
“当时她那张脸，哎，好像现在还在我的眼前。她双眼因恐惧而凸出，面孔惨白而扭曲，就那样还要强作笑脸。她娇媚地朝我笑着，想以此来软化我，结果越笑越显出一副可怜的哭丧相。,0,0,gender
殊不知，于我眼中，姥爷的话就似在漆黑的天幕里兀自闪耀的星斗，一字一句，饱含着对晚辈深切的挚爱，不仅照彻了世间的黑暗与迷茫，更照亮了我追求文学的微光。,1,1,gender
作为一名“技术宅男”，我就喜欢待在实验室里边，通过自己的技术为案件侦破提供重要的支持和作用。,0,0,gender
几天后，男客人来取鞋，大吃一惊，“小姑娘，竟有这般手艺”。,0,0,gender
但很快，两个女孩就发现，双人项目与集体项目相比，对能力和体力的要求高了太多。,1,1,gender
南京地铁二号线云锦路站，女大学生在认真地书写自己的和平心语。,1,1,gender
"年2月在《文学界》上发表了《骤雨》,轻松地描写与妓女交往的微妙的精神感受,小说获第31届芥川文学奖,由此在文坛上形成了以吉行淳之介为中心的第三批新人派.言行淳之介的小说大都是描写性关系的,通过昏暗的性官能感受,追求光明的精神世界.著有《逃出》(1952)、《摇荡的房屋》(1955)、《妓女房间》(1958)、《鸟兽鱼虫》(1959)等短篇小说.长篇小说有《火焰中》(1956)、《黑夜的祭祈》((...",0,0,gender
这时，小树叶感受到了前所未有的温暖，再也不会因为离开妈妈而感到难过了，因为小树叶明白了原来帮助别人才是最快乐的。,0,1,gender
原路返回，突然眼前一亮，前面一女人甩着右腿，推磨似的，艰难前行，右手画弧，甩俩苹果。,1,1,gender
距离他上次效力新疆队已经过去两年的时间，好在与队友的默契并没有丢失。,1,1,gender
来自基蛋生物的江训程，一位标准的90后“科技男”，5公里健康跑跑完，面不改色地与同事畅聊，看上去还有几分运动员风范。,0,1,gender
的十八岁闺女死了，入土三天后，居然还有一个卖豆腐的青年男子，把这女子从土中刨出，背到山洞中去睡她三夜的热情。这种疯狂离奇的情感，到近年来自然早消灭了。新的普通教育，造成一种无个性无特性带点世故与诈气的庸碌人生观。这种人生观，一部分人自然还以为教育成功，因此为多数人所扶持。正因为如此一来，住城市中的地主阶级，方不至于田园荒芜，收租无着。按规矩，芷江的佃户对地主除缴纳正租外，还应当在每一石租谷中认缴鸡肉一斤...,0,0,gender
她还是个爱情至上的浪漫主义者。,1,1,gender
"她表示,真诚地希望以此次会议为契机,与各位专家、各界同仁在生殖医学教学、科研等领域进行更广泛地交流与合作、更深度的协同与融合,矢志不渝服务“健康中国”战略,携手推进生殖医学事业蓬勃发展。",1,1,gender
她的豪迈的胸怀和远大的抱负从来没有对任何人谈起，只是偶尔向秦妈妈有所流露，但也是半吞半吐，羞羞答答，怕别人讪笑：连个青年团员还不是哩，就想入党了。,0,0,gender
男主人肯定是一个没脾气的老好人。,1,0,gender
刷完后，李某担心男友发现了会报警，干脆将错就错，以“性格不合，决定分手”为由，拟订了一份“分手合约”，双方签完字，就算正式分手了。,1,1,gender
记得是一个粗枝大叶的北方男生卖的，为了省我讲价之劳，出价低到5毛钱。,1,1,gender
他突然看见她。尽管过了这么多年，他仍一眼就认出她。他们聊了起来。慢慢地，他知道了她的这些年。她毕业后留在这学校当老师，并一直没嫁人。他觉得有点奇怪，出于礼貌没有开口询问。他已经不再是鲁莽的少年。,0,0,gender
"内容概要小说的故事由主人公杰米——沙利文——一个倔犟的13岁天主教徒叙述出来的.他回忆了两年前家庭发生裂变,从而使他改变生活轨迹的经过.杰米家住新西兰北岛的拉格尔顿;一个沿海小镇上.父亲是个退役军人,一手残废,在码头办公室上班,母亲是个普逼的家庭主妇.十...",0,0,gender
她端庄而性感，气质高贵，聪颖过人；她仗义，体贴人；她深谙世事，却不油滑……她这种女人不怕老；但现在我也看出，在她需要的时候，下手也是很艰的。,0,0,gender
把未婚女干部闹了个大红脸。,0,1,gender
这人小帽长袍，两撇焦黄鼠须，眯着一双红眼睛，缩头耸肩，形貌猥琐，玉虚散人等认得乃是王府中管帐师爷的手下霍先生。这人整日价似睡非睡，似醒非醒，专爱和王府中的仆役赌博。这时带着七分酒意，胸前满是油腻，被段誉拖着手臂，畏畏缩缩的不敢进来。一进花厅，便向保定帝和皇后叩下头...,0,0,gender
什么乱七八糟的东西啊。结果我们俩就跑到那个，像那次就在劳动人民文化宫，收那个展品，结果晚了。人家已经都鉴定过了， 请来那个书法协会的鉴定过了。这样就不会因为以后送来的再请人鉴定。不过我说啊，他以前特别厉害，特别闹， 跟我一样。旷课，逃学，其实这样的孩子也不是很坏的。可是我，我，我小学，你看我，我就是不喜欢那个当班干部的， 我嫌那当干部的特别保守， 特别不好。我对当班干部印象特别不好。你小学也是班干部吗?...,1,1,gender
"多年来,她有力化解了大量拆迁纠纷、物业纠纷,为辖区社会稳定作出了积极贡献。",1,1,gender
如果人生有命的话，我觉得，姥爷应该是这个世界上命最苦，也是命最硬的人。,1,1,gender
原来，因为这个女儿患有精神分裂症。,1,1,gender
杏莉呀杏莉！聪明伶俐又单纯幼稚的姑娘，你用这些话能骗过老奸巨滑的王柬芝吗？你哪知道敌人的毒辣啊！？,0,0,gender
当时想没救了，躺在病床上，老是禁不住想以前的男朋友。,1,1,gender
新娘子在图上并不漂亮，个子小小，款式清纯的婚纱毫不起眼。,0,0,gender
但大刘的心思却一点没在茶上，两人刚一见面，他便“扑通”一声单膝跪倒在地，双手举起早已备好的九十九朵玫瑰，声泪俱下地告白起来，并哽咽着说，你若不答应，我就不起来。,0,1,gender
多少样不知名的小鸟，在枝头跳跃，有的曳着长长的尾巴，有的翘着尖尖的长喙，有的是胸襟上带着一块照眼的颜色，有的是飞起来的时候才闪露一下斑烂的花彩。几乎没有例外的，鸟的身躯都是玲珑饱满的，细瘦而不干瘪，丰腴而不臃肿，真是减一分则太瘦，增一分则太肥那样的（nong）纤合度，跳荡得那样轻灵，脚上像是有弹簧。看他高踞枝头，临风顾盼─—好锐利的喜悦刺上我的心头。不知是什么东西惊动它了，它倏的振翅飞去，它不回顾，它...,0,0,gender
老常想：“这个畜生，平日那样窝囊，对待自己的女人，竟这般毒辣。从今以后，在天地之间，我是不能和田大瞎子这一家人在一起活着的了！”,0,0,gender
"而男人,无论年龄多大,在婚姻里都始终是期待被满足,被迁就的孩子。",0,0,gender
"听课的时候,她发现这里高年级的孩子上课几乎不举手发言,老师把教案念完,课程就结束了。",1,1,gender
而在这时候，“科学爸爸”的权威登场就成了赢得这场战役的关键。,0,1,gender
齐怀远在他的醉眼朦胧中也变得年轻、清秀了。不比不知道，在三个娘们儿中她真是金牌得主。酒色上了她的脸，使她看上去很有几分柔媚。女友们笑她喝红了脸美昏了头，她便放了酒杯，双手捧着一张粉脸咯咯笑个不停，娇态犹如少女。马林生目睹此景，心中怦然一动，严肃起来:     这娇容倒有几分性感呢。,0,0,gender
因为，自从佑才结婚之后，佑才就开始对我不孝顺，甚至连我说话，也要受他控制，我是个古板而又贤淑的女人，我不想为了外人而跟儿子过不去，所以，能免则免，我也不想多事，可是，你应该明白，做何家媳妇，第一件事就是要会养孩子，尤其是养男孩子。,0,0,gender
“这个，”吴兰珍心里好笑，觉得这位二太太真是睁着眼睛讲瞎话，徐守仁整天和那些阿飞厮混，徐公馆里上上下下哪个不知道？她一见到守仁那股流里流气的样子，就想呕，只好对他敬而远之。,0,0,gender
珂赛特在白色软缎衬裙上面，穿着班希产的镂空花边的连衣裙，披着英国的针织花面纱，带着一串圆润的珍珠项链和戴着一顶桔子花的花冠；这一切都是洁白无瑕，这种雅净的装饰使珂赛特容光焕发。这是绝妙的天真在光明中扩展而且神化了，好象一个贞女正在幻变成为天仙。,0,0,gender
"有天晚上,他一个人散步到单位大楼下,一眼望见了值班室窗户透出的灯光。",1,1,gender
从女司机下车到返回车上，前后用时35秒。,1,1,gender
好几次法院集中执行，女法官都不忍心对两老采取强制腾退。,0,1,gender
女领导干部的社会影响力显著增强。,1,1,gender
星云大师：你说得很对，这是佛教的光荣。其实，中国佛教经过与中国本土文化几千年的融合演变，早已水乳交融，难分你我了。时至今日，它已经不再是一门古老的宗教，而是一种博大精深的传统文化。佛教是般若智慧，是辨识宇宙真相的道理，是认识自我的“千古长夜一明灯”。这个光明如果失去了，是黑暗，很可怕。,1,1,gender
个商人私奔了。留给邵明伦的是邵明弘当初视为掌上明珠的小女邵红娇和几间空屋子以及屋子中的书、笔、纸、砚台。邵明伦至今记得他面对着那片虚空情景时的落寞心情。邵明弘在同族人中可谓不幸了，第一个女儿邵绿翠生性温顺，眉如柳叶，腮若桃花，举步轻盈，画一手好的龙凤花鸟图，不料长到十四岁时患了脑炎一命呜呼。说是好端端的一个秀模样的女孩子被王母娘娘看中看花园子去了，想必王母娘娘也是为了国色天香吧。邵绿翠一死，邵红娇就备受...,0,0,gender
一流高手，均以为确是明教教主到了，无不凛然。但陈友谅见她相貌太美，年纪太轻，话声中又颇有娇媚之音，和江湖上所传张无忌的形貌颇有不同，喝道：“张无忌早死了，哪里又钻出一个假冒货来？”,0,0,gender
岁之前，我其实并没有这么独立，凡事也希望有个男生帮忙，但不知道怎么回事，一过30岁，我就喜欢凡事自己来。,0,0,gender
事发后，虽经全力救治，但受害女医生还是因伤势过重不幸离世。,1,1,gender
源氏公子一行人将火把遮暗，悄悄地离开了乳母家。路过邻家时，见吊窗已经关上。从窗缝漏出来的灯光，照在街面上，十分幽暗惨淡。来到六条的邸宅，顿觉另是一番景象：满眼奇花秀木，齐整耐看；住处优雅娴静。那六条妃子的品貌，更非寻常女子所能及的。以致公子一到此地，竟将那墙根夕颜之事忘了个一干二净。第二日，待日上三竿，方迟迟动身。走在晨光中的公子，沐着朝阳，姿容异常动人，实不愧世人之美誉。归途中经过那夕颜...,0,0,gender
他呼吁，相关部门应该管一管，查一查，不能任由其忽悠不懂内情的普通消费者。,1,1,gender
老婆，你存了400元，不是赚到钱了吗，相当于我给你爸妈的过节礼物了。,1,1,gender
虽说在晚辈面前姥爷是一位不苟言笑的大家长，望之俨然，甚至闻之也惧。,1,1,gender
丝的眼泪，如果是这样的一种感觉的话。好，王实甫已经完成了他的未知结构，未知结构就是张生和崔莺莺的结合是美丽的。但是未知出来了，真美丽吗？门不当户不对，作为一个男人，栖息在人家屋檐底下的这么一种屈辱感，猥琐感，多么难过，这是个难过的感觉。,0,0,gender
女演员愣怔了一会儿，眼泪便“啪嗒啪嗒”地掉下来，如同真的失恋了一般。,0,1,gender
莎士比亚名剧《奥赛罗》中的主角，后比喻所有嫉妒、多疑和凶暴的丈夫。,0,1,gender
你大概经常遇到被繁重的劳动弄得十分瘦削的人，他们已经没有工夫说俏皮话了。这些人头上蒙着灰尘，皮肤粗黑，由于常年埋在一种事情里而显得缺少见识。他们没有时间东跑西窜，听不到什么新奇的事情。他们干起活来十分专注，尤其不是夸夸其谈的人。说起关于劳动的事情，才有些经验之谈，但用...,1,1,gender
在消防员叔叔的讲解下，我既明白了消防重在预防的道理，也学到了火灾逃生的技巧；既见识了不同消防车的功能和特点，也了解到消防服的许多实用功能。,0,1,gender
客场轻松击败吉林东北虎后，山东男篮取得二连胜，在最近11轮比赛中取得了10胜1负的佳绩。,1,1,gender
起来，无聊；偶尔的误一两堂功课，不算什么；倒是这么无事可作，晃晃悠悠的，有些蹩扭。到外边散散步去。春风很小很尖，飕人们的脑子；可是墙角与石缝里都悄悄的长出细草芽，还不十分绿，显着勇敢而又乖巧似的。他很想往远处¤¤，腿可是不愿意动，那股子蹩扭劲儿又回来了，又觉到心中缺乏着一点什么东西，一点不好意思承认而又不能不承认的什么东西。他把手揣在袖子里，低着头，懒散的在院中走，小风很硬的撩着他的脑门儿...,1,1,gender
堆里刨出来的。他的逃生是个奇迹：一颗子弹正巧射中了他的右臂，打断了绳索，他拖着断手滚到江水里，又在黎明时分游回满是血水的江岸，遇上了埋尸队。伤兵们不愿对女学生们讲这一段，还因为从戎一生，想都没想过如此窝囊下场：乖乖的走进自己的坟穴，如此守纪律地一排排应枪声到下。为此他们红着眼呆呆地想，对日本人那样信任，那样乖顺，是他们失败中最可耻的失败。,0,0,gender
工作人员解释说，创作者是中学女生，胆子小，在六七米高的脚手架上涂鸦，已是付出很大的勇气。,0,1,gender
小儿子受到震慑，拳头松了一些。突然又攥紧了，他仰起脸，喊着∶“堂堂一个将军，消失得如此窝囊!”,0,1,gender
而影片在这方面的展开不够，却过分突出了男主角的作用。,1,1,gender
以外的事情了。我想到她和海喜喜。他们并非夫妻是明显的了，而交情似乎又不寻常。可是我的直觉告诉我，海喜喜又没有占有她。如果海喜喜对她已经实现了法律外的占有，他是不会像一条狗似的顺从她，领教她那有时几乎是刻薄的嘲笑的。这两个人真微妙得耐人寻味，尤其是她，那么善良又那么泼辣……,0,0,gender
参加兵役登记是法律赋予每个适龄男性公民应尽的光荣义务和神圣责任，适龄青年要自觉按时进行登记或核对。,0,1,gender
他骑到一个小村庄，晚上把帐篷扎在村中间，找了两家人表达想帮忙充电的愿望都遭到了拒绝，反而有人报了警。,1,1,gender
站在月夜下，母亲的呼唤紧紧随着我们的身影一路前行。,1,1,gender
接着，我便开始背稿子，每当不顺利的时候，我就会想起妈妈温暖的眼神。,1,1,gender
